season,episode,character,dialogue
6,24,PENNY,"So, then, during my afternoon shift, I spilled an entire tray of drinks on myself."
6,24,LEONARD,"Oh, that’s awful."
6,24,PENNY,"Not really. My shirt was soaking wet. I got, like, the biggest tip of my life."
6,24,LEONARD,"So, listen, do you remember when I said the similarities of the equations of general relativity and hydrodynamics suggest you could find the equivalent of Unruh radiation in a large body of water?"
6,24,PENNY,I thought I said that to you.
6,24,LEONARD,"Anyway, Stephen Hawking’s team is looking into that, and I’ve been invited to join them."
6,24,PENNY,"Wow, Hawking. Good for you."
6,24,LEONARD,"Well, it is. Just, you know, I’d be gone for a while."
6,24,PENNY,"Well, how long?"
6,24,LEONARD,"Three, four months."
6,24,PENNY,Whoa. When would you leave?
6,24,LEONARD,Couple of weeks.
6,24,PENNY,"Wow. Oh, okay, well, I’ll just come visit you."
6,24,LEONARD,"That’s the thing, you can’t. I’ll be on a ship in the North Sea."
6,24,PENNY,On a ship? Aren’t they afraid Hawking will just roll overboard?
6,24,LEONARD,"Uh, he’s not gonna be there. He’s just sending a team to research his theory."
6,24,PENNY,"Oh, sure. Like when you send me to kill spiders in your bathtub. Wow. Okay. Four months."
6,24,LEONARD,"Yeah. And I’m a little worried because things between us have been so great, and I’d hate to do anything that screws that up."
6,24,PENNY,"Oh, sweetie, if you’re gonna screw things up, it’s gonna be while you’re here, not while you’re away. No. I mean, look, you have to go. It sounds like an amazing opportunity. And I’m just basing that on how much I didn’t understand what you said about it."
6,24,LEONARD,Okay. I’ll confirm the travel arrangements in the morning.
6,24,PENNY,Okay. Good.
6,24,LEONARD,I do have to ask you one favour.
6,24,PENNY,Sure.
6,24,LEONARD,Sheldon’s nervous about me leaving. Just keep an eye on him while I’m gone.
6,24,PENNY,"Oh, I don’t know. Remember what happened when I took care of your goldfish?"
6,24,LEONARD,"Well, flush Sheldon down the toilet and get me a new one."
6,24,LEONARD,"Really, you guys do not need to throw me a going-away party."
6,24,HOWARD,Are you kidding me? How often can you say bon voyage to somebody when they’re actually going on a voyage?
6,24,AMY,"Hello, Rajesh."
